snapshot;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
6717;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
6718;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
6719;-0.0;0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
6720;14.18;0.0;-0.79;12.85;7.45;-7.45;-7.45;1.34;0.0;6.67
6721;11.23;0.0;0.77;10.17;5.9;-5.9;-5.9;1.06;0.0;6.67
6722;7.54;0.0;2.7;6.83;3.96;-3.96;-3.96;0.71;0.0;6.67
6723;4.43;0.87;3.88;4.8;2.79;-2.79;-2.79;0.5;0.0;6.67
6724;4.1;1.2;3.88;4.8;2.79;-2.79;-2.79;0.5;0.0;6.67
6725;4.51;0.79;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6726;4.43;0.87;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6727;2.38;2.92;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6728;1.72;3.58;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6729;1.07;4.24;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6730;0.41;4.89;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6731;0.25;5.06;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6732;0.57;4.73;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6733;0.25;5.06;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6734;0.16;5.14;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6735;0.57;4.73;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6736;2.38;2.92;7.21;4.8;2.79;-2.79;-2.79;0.5;0.0;10.0
6737;6.8;0.0;6.42;6.16;3.57;-3.57;-3.57;0.64;0.0;10.0
6738;12.46;0.0;3.45;11.29;6.55;-6.55;-6.55;1.17;0.0;10.0
6739;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6740;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
