;grid;PEM input;Compressor;hydrogen_storage;Curtailment
424;7.49;-6.79;-0.71;6.06;0
425;17.36;-15.73;-1.64;0.88;0
426;17.36;-15.73;-1.64;0.88;0
427;17.36;-15.73;-1.64;-2.46;0
428;17.36;-15.73;-1.64;-2.46;0
429;17.36;-15.73;-1.64;-2.46;0
430;17.36;-15.73;-1.64;-2.46;0
431;17.36;-15.73;-1.64;-2.46;0
432;17.36;-15.73;-1.64;-2.46;0
433;17.36;-15.73;-1.64;-2.46;0
434;17.36;-15.73;-1.64;-2.46;0
435;17.36;-15.73;-1.64;-2.46;0
436;10.68;-9.68;-1.01;1.05;0
437;17.36;-15.73;-1.64;0.88;0
438;17.36;-15.73;-1.64;0.88;0
439;17.36;-15.73;-1.64;0.88;0
440;17.36;-15.73;-1.64;0.88;0
441;17.36;-15.73;-1.64;0.88;0
442;17.36;-15.73;-1.64;0.88;0
443;17.36;-15.73;-1.64;0.88;0
444;17.36;-15.73;-1.64;0.88;0
445;17.36;-15.73;-1.64;0.88;0
446;17.36;-15.73;-1.64;0.88;0
447;17.36;-15.73;-1.64;0.88;0
448;17.36;-15.73;-1.64;0.88;0
449;17.36;-15.73;-1.64;0.88;0
450;17.36;-15.73;-1.64;0.88;0
451;17.36;-15.73;-1.64;-2.46;0
452;17.36;-15.73;-1.64;-2.46;0
453;17.36;-15.73;-1.64;-2.46;0
454;17.36;-15.73;-1.64;-2.46;0
455;17.36;-15.73;-1.64;-2.46;0
456;17.36;-15.73;-1.64;-2.46;0
457;17.36;-15.73;-1.64;-2.46;0
458;17.36;-15.73;-1.64;-2.46;0
459;17.36;-15.73;-1.64;-2.46;0
460;17.36;-15.73;-1.64;-2.46;0
461;17.36;-15.73;-1.64;0.88;0
462;17.36;-15.73;-1.64;0.88;0
463;17.36;-15.73;-1.64;0.88;0
464;17.36;-15.73;-1.64;0.88;0
465;17.36;-15.73;-1.64;0.88;0
466;17.36;-15.73;-1.64;0.88;0
467;17.36;-15.73;-1.64;0.88;0
468;17.36;-15.73;-1.64;0.88;0
469;17.36;-15.73;-1.64;0.88;0
470;17.36;-15.73;-1.64;0.88;0
471;17.36;-15.73;-1.64;0.88;0
472;17.36;-15.73;-1.64;0.88;0
473;17.36;-15.73;-1.64;0.88;0
474;17.36;-15.73;-1.64;0.88;0
475;17.36;-15.73;-1.64;-2.46;0
476;17.36;-15.73;-1.64;-2.46;0
477;17.36;-15.73;-1.64;-2.46;0
478;17.36;-15.73;-1.64;-2.46;0
479;17.36;-15.73;-1.64;-2.46;0
480;17.36;-15.73;-1.64;-2.46;0
481;17.36;-15.73;-1.64;-2.46;0
482;17.36;-15.73;-1.64;-2.46;0
483;17.36;-15.73;-1.64;-2.46;0
484;17.36;-15.73;-1.64;-2.46;0
485;17.36;-15.73;-1.64;0.88;0
486;17.36;-15.73;-1.64;0.88;0
487;17.36;-15.73;-1.64;0.88;0
488;17.36;-15.73;-1.64;0.88;0
489;17.36;-15.73;-1.64;0.88;0
490;17.36;-15.73;-1.64;0.88;0
491;17.36;-15.73;-1.64;0.88;0
492;17.36;-15.73;-1.64;0.88;0
493;17.36;-15.73;-1.64;0.88;0
494;17.36;-15.73;-1.64;0.88;0
495;17.36;-15.73;-1.64;0.88;0
496;17.36;-15.73;-1.64;0.88;0
497;17.36;-15.73;-1.64;0.88;0
498;17.36;-15.73;-1.64;0.88;0
499;-0.0;0.0;0.0;6.67;0
500;-0.0;0.0;0.0;6.67;0
501;-0.0;0.0;0.0;6.67;0
502;-0.0;0.0;0.0;6.67;0
503;-0.0;0.0;0.0;6.67;0
504;17.36;-15.73;-1.64;-2.46;0
505;17.36;-15.73;-1.64;-2.46;0
506;17.36;-15.73;-1.64;-2.46;0
507;17.36;-15.73;-1.64;-2.46;0
508;17.36;-15.73;-1.64;-2.46;0
509;17.36;-15.73;-1.64;0.88;0
510;17.36;-15.73;-1.64;0.88;0
511;17.36;-15.73;-1.64;0.88;0
512;17.36;-15.73;-1.64;0.88;0
513;17.36;-15.73;-1.64;0.88;0
514;17.36;-15.73;-1.64;0.88;0
515;17.36;-15.73;-1.64;0.88;0
516;17.36;-15.73;-1.64;0.88;0
517;17.36;-15.73;-1.64;0.88;0
518;17.36;-15.73;-1.64;0.88;0
519;17.36;-15.73;-1.64;0.88;0
520;17.36;-15.73;-1.64;0.88;0
521;17.36;-15.73;-1.64;0.88;0
522;17.36;-15.73;-1.64;0.88;0
523;12.69;-11.49;-1.2;0.0;0
524;17.36;-15.73;-1.64;-2.46;0
525;17.36;-15.73;-1.64;-2.46;0
526;17.36;-15.73;-1.64;-2.46;0
527;17.36;-15.73;-1.64;-2.46;0
528;17.36;-15.73;-1.64;-2.46;0
529;17.36;-15.73;-1.64;-2.46;0
530;17.36;-15.73;-1.64;-2.46;0
531;17.36;-15.73;-1.64;-2.46;0
532;3.86;-3.49;-0.36;4.64;0
533;17.36;-15.73;-1.64;0.88;0
534;17.36;-15.73;-1.64;0.88;0
535;17.36;-15.73;-1.64;0.88;0
536;17.36;-15.73;-1.64;0.88;0
537;12.17;-11.02;-1.15;3.61;0
538;17.36;-15.73;-1.64;0.88;0
539;17.36;-15.73;-1.64;0.88;0
540;17.36;-15.73;-1.64;0.88;0
541;17.36;-15.73;-1.64;0.88;0
542;17.36;-15.73;-1.64;0.88;0
543;17.36;-15.73;-1.64;0.88;0
544;17.36;-15.73;-1.64;0.88;0
545;17.36;-15.73;-1.64;0.88;0
546;17.36;-15.73;-1.64;0.88;0
547;17.36;-15.73;-1.64;-2.46;0
548;12.17;-11.02;-1.15;0.27;0
549;17.36;-15.73;-1.64;-2.46;0
550;3.86;-3.49;-0.36;4.64;0
551;17.36;-15.73;-1.64;-2.46;0
552;12.69;-11.49;-1.2;-0.0;0
553;17.36;-15.73;-1.64;-2.46;0
554;17.36;-15.73;-1.64;-2.46;0
555;17.36;-15.73;-1.64;-2.46;0
556;17.36;-15.73;-1.64;-2.46;0
557;17.36;-15.73;-1.64;0.88;0
558;17.36;-15.73;-1.64;0.88;0
559;17.36;-15.73;-1.64;0.88;0
560;17.36;-15.73;-1.64;0.88;0
561;17.36;-15.73;-1.64;0.88;0
562;17.36;-15.73;-1.64;0.88;0
563;17.36;-15.73;-1.64;0.88;0
564;17.36;-15.73;-1.64;0.88;0
565;17.36;-15.73;-1.64;0.88;0
566;17.36;-15.73;-1.64;0.88;0
567;17.36;-15.73;-1.64;0.88;0
568;17.36;-15.73;-1.64;0.88;0
569;17.36;-15.73;-1.64;0.88;0
570;17.36;-15.73;-1.64;0.88;0
571;17.36;-15.73;-1.64;-2.46;0
572;17.36;-15.73;-1.64;-2.46;0
573;17.36;-15.73;-1.64;-2.46;0
574;3.86;-3.49;-0.36;4.64;0
575;17.36;-15.73;-1.64;-2.46;0
576;17.36;-15.73;-1.64;-2.46;0
577;17.36;-15.73;-1.64;-2.46;0
578;17.36;-15.73;-1.64;-2.46;0
579;17.36;-15.73;-1.64;-2.46;0
580;17.36;-15.73;-1.64;-2.46;0
581;17.36;-15.73;-1.64;0.88;0
582;17.36;-15.73;-1.64;0.88;0
583;17.36;-15.73;-1.64;0.88;0
584;17.36;-15.73;-1.64;0.88;0
585;17.36;-15.73;-1.64;0.88;0
586;17.36;-15.73;-1.64;0.88;0
587;7.49;-6.79;-0.71;6.06;0
588;17.36;-15.73;-1.64;0.88;0
589;17.36;-15.73;-1.64;0.88;0
590;17.36;-15.73;-1.64;0.88;0
591;17.36;-15.73;-1.64;0.88;0
592;17.36;-15.73;-1.64;0.88;0
593;17.36;-15.73;-1.64;0.88;0
594;17.36;-15.73;-1.64;0.88;0
595;17.36;-15.73;-1.64;-2.46;0
596;17.36;-15.73;-1.64;-2.46;0
597;17.36;-15.73;-1.64;-2.46;0
598;17.36;-15.73;-1.64;-2.46;0
599;17.36;-15.73;-1.64;-2.46;0
600;17.36;-15.73;-1.64;-2.46;0
601;15.36;-13.91;-1.45;-1.4;0
602;12.69;-11.49;-1.2;0.0;0
603;17.36;-15.73;-1.64;-2.46;0
604;17.36;-15.73;-1.64;-2.46;0
605;17.36;-15.73;-1.64;0.88;0
606;17.36;-15.73;-1.64;0.88;0
607;17.36;-15.73;-1.64;0.88;0
608;17.36;-15.73;-1.64;0.88;0
