;on_wind;pv;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
1689;10.38;14.49;-22.53;0.0;-2.34;-3.07;-5.08
1690;11.36;13.51;-22.53;0.0;-2.34;-3.07;-7.3
1691;14.39;10.49;-22.53;0.0;-2.34;-3.07;-4.92
1692;17.49;4.61;-20.02;0.0;-2.08;-1.61;-0.0
1693;16.24;1.4;-15.98;0.0;-1.66;0.73;-0.0
1694;18.01;0.93;-17.16;0.0;-1.78;0.05;-0.0
1695;22.16;1.17;-21.12;0.0;-2.2;-2.25;-0.0
1696;24.01;0.33;-22.05;0.0;-2.29;-2.79;-0.0
1697;24.88;-0.0;-22.53;0.0;-2.34;-3.07;-0.56
1698;24.88;-0.0;-22.53;0.0;-2.34;-3.07;-2.16
1699;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-0.74
1700;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-0.17
1701;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-0.43
1702;24.01;-0.0;-21.75;0.0;-2.26;-5.95;-0.0
1703;23.45;-0.0;-21.24;0.0;-2.21;-5.65;-0.0
1704;23.93;-0.0;-21.67;0.0;-2.25;-5.9;-0.0
1705;24.27;-0.0;-21.99;0.0;-2.29;-6.09;-0.0
1706;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-1.47
1707;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-4.28
1708;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-6.22
1709;24.88;-0.0;-22.53;0.0;-2.34;-3.07;-11.19
1710;24.32;0.56;-22.53;0.0;-2.34;-3.07;-12.65
1711;22.92;1.96;-22.53;0.0;-2.34;-3.07;-15.78
1712;20.4;4.47;-22.53;0.0;-2.34;-3.07;-19.38
1713;20.45;4.43;-22.53;0.0;-2.34;-3.07;-19.2
1714;16.39;8.48;-22.53;0.0;-2.34;-3.07;-22.78
1715;11.17;13.7;-22.53;0.0;-2.34;-3.07;-28.56
1716;0.97;23.91;-22.53;0.0;-2.34;-3.07;-39.37
1717;4.79;20.09;-22.53;0.0;-2.34;-3.07;-35.2
1718;14.39;10.49;-22.53;0.0;-2.34;-3.07;-24.01
1719;19.38;5.5;-22.53;0.0;-2.34;-3.07;-16.9
1720;23.1;1.77;-22.53;0.0;-2.34;-3.07;-11.19
1721;24.88;-0.0;-22.53;0.0;-2.34;-3.07;-7.78
1722;24.88;-0.0;-22.53;0.0;-2.34;-3.07;-6.05
1723;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-4.19
1724;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-1.56
1725;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-0.13
1726;24.19;-0.0;-21.91;0.0;-2.28;-6.04;-0.0
1727;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-2.59
1728;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-4.8
1729;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-5.53
1730;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-4.84
1731;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-5.79
1732;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-6.39
1733;24.88;-0.0;-22.53;0.0;-2.34;-3.07;-6.18
1734;22.55;2.33;-22.53;0.0;-2.34;-3.07;-8.55
1735;19.66;5.22;-22.53;0.0;-2.34;-3.07;-11.53
1736;17.42;7.46;-22.53;0.0;-2.34;-3.07;-14.11
1737;11.5;13.37;-22.53;0.0;-2.34;-3.07;-21.37
1738;18.77;6.1;-22.53;0.0;-2.34;-3.07;-8.83
1739;21.71;3.17;-22.53;0.0;-2.34;-3.07;-6.76
1740;17.65;7.22;-22.53;0.0;-2.34;-3.07;-16.51
1741;15.0;9.88;-22.53;0.0;-2.34;-3.07;-18.13
1742;12.57;12.3;-22.53;0.0;-2.34;-3.07;-18.44
1743;13.97;10.9;-22.53;0.0;-2.34;-3.07;-17.08
1744;22.87;2.0;-22.53;0.0;-2.34;-3.07;-6.15
1745;23.97;-0.0;-21.71;0.0;-2.26;-2.59;-0.0
1746;19.22;-0.0;-17.41;0.0;-1.81;-0.1;-0.0
1747;16.54;-0.0;-14.98;0.0;-1.56;-2.02;-0.0
1748;15.72;-0.0;-14.24;0.0;-1.48;-1.59;-0.0
1749;14.99;-0.0;-13.58;0.0;-1.41;-1.21;-0.0
1750;14.64;-0.0;-13.26;0.0;-1.38;-1.03;-0.0
1751;14.34;-0.0;-12.99;0.0;-1.35;-0.87;-0.0
1752;15.94;-0.0;-14.44;0.0;-1.5;-1.71;-0.0
1753;17.02;-0.0;-15.41;0.0;-1.6;-2.27;-0.0
1754;15.94;-0.0;-14.44;0.0;-1.5;-1.71;-0.0
1755;12.87;-0.0;-11.66;0.0;-1.21;-0.1;-0.0
1756;11.23;-0.0;-10.17;0.0;-1.06;0.77;-0.0
1757;9.63;-0.0;-8.72;0.0;-0.91;4.94;-0.0
1758;9.63;1.21;-9.82;0.0;-1.02;4.3;-0.0
1759;9.37;5.96;-13.89;0.0;-1.44;1.94;-0.0
1760;5.82;19.06;-22.53;0.0;-2.34;-3.07;-3.69
1761;1.71;23.16;-22.53;0.0;-2.34;-3.07;-9.43
1762;4.51;20.36;-22.53;0.0;-2.34;-3.07;-8.23
1763;9.59;15.29;-22.53;0.0;-2.34;-3.07;-4.01
1764;11.69;13.19;-22.53;0.0;-2.34;-3.07;-2.48
1765;13.43;11.42;-22.51;0.0;-2.34;-3.06;-0.0
1766;10.54;9.97;-18.58;0.0;-1.93;-0.78;-0.0
1767;7.21;7.69;-13.5;0.0;-1.4;2.17;-0.0
1768;5.27;2.94;-7.43;0.0;-0.77;5.69;-0.0
1769;5.27;-0.0;-5.01;0.26;-0.52;7.09;-0.0
1770;5.83;-0.0;-5.28;0.0;-0.55;6.94;-0.0
1771;7.47;-0.0;-6.77;0.0;-0.7;2.74;-0.0
1772;10.11;-0.0;-9.15;0.0;-0.95;1.36;-0.0
1773;11.96;-0.0;-10.84;0.0;-1.13;0.38;-0.0
1774;13.13;-0.0;-11.89;0.0;-1.24;-0.23;-0.0
1775;14.77;-0.0;-13.38;0.0;-1.39;-1.09;-0.0
1776;16.15;-0.0;-14.63;0.0;-1.52;-1.82;-0.0
1777;16.67;-0.0;-15.1;0.0;-1.57;-2.09;-0.0
1778;15.85;-0.0;-14.36;0.0;-1.49;-1.66;-0.0
1779;14.99;-0.0;-13.58;0.0;-1.41;-1.21;-0.0
1780;14.73;-0.0;-13.34;0.0;-1.39;-1.07;-0.0
1781;14.43;-0.0;-13.07;0.0;-1.36;2.42;-0.0
1782;12.96;1.21;-12.83;0.0;-1.33;2.56;-0.0
1783;11.27;4.75;-14.52;0.0;-1.51;1.58;-0.0
1784;12.96;8.16;-19.12;0.0;-1.99;-1.09;-0.0
1785;12.85;12.02;-22.53;0.0;-2.34;-3.07;-6.45
1786;10.29;14.59;-22.53;0.0;-2.34;-3.07;-10.61
1787;7.73;17.15;-22.53;0.0;-2.34;-3.07;-13.48
1788;10.15;14.73;-22.53;0.0;-2.34;-3.07;-11.49
1789;13.74;11.14;-22.53;0.0;-2.34;-3.07;-8.2
1790;16.77;8.11;-22.53;0.0;-2.34;-3.07;-5.17
1791;19.8;5.08;-22.53;0.0;-2.34;-3.07;-2.49
1792;22.96;1.91;-22.53;0.0;-2.34;-3.07;-0.01
1793;23.02;-0.0;-20.85;0.0;-2.17;-2.09;-0.0
1794;22.03;-0.0;-19.95;0.0;-2.07;-1.57;-0.0
1795;21.9;-0.0;-19.83;0.0;-2.06;-4.84;-0.0
1796;21.55;-0.0;-19.52;0.0;-2.03;-4.66;-0.0
1797;21.77;-0.0;-19.72;0.0;-2.05;-4.77;-0.0
1798;21.68;-0.0;-19.64;0.0;-2.04;-4.72;-0.0
1799;20.51;-0.0;-18.58;0.0;-1.93;-4.11;-0.0
1800;18.83;-0.0;-17.06;0.0;-1.77;-3.23;-0.0
1801;20.3;-0.0;-18.39;0.0;-1.91;-4.0;-0.0
1802;20.69;-0.0;-18.74;0.0;-1.95;-4.2;-0.0
1803;18.87;-0.0;-17.1;0.0;-1.78;-3.25;-0.0
1804;18.53;-0.0;-16.78;0.0;-1.75;-3.07;-0.0
1805;18.53;0.05;-16.83;0.0;-1.75;0.24;-0.0
1806;15.63;5.17;-18.85;0.0;-1.96;-0.93;-0.0
1807;11.19;12.68;-21.61;0.0;-2.25;-2.54;-0.0
1808;7.35;17.52;-22.53;0.0;-2.34;-3.07;-2.19
1809;4.79;20.09;-22.53;0.0;-2.34;-3.07;-10.41
1810;2.97;21.9;-22.53;0.0;-2.34;-3.07;-11.93
1811;3.35;21.53;-22.53;0.0;-2.34;-3.07;-9.83
1812;9.17;15.7;-22.53;0.0;-2.34;-3.07;-1.89
1813;8.94;8.95;-16.2;0.0;-1.68;0.6;-0.0
1814;8.68;4.61;-12.04;0.0;-1.25;3.01;-0.0
1815;10.84;1.91;-11.55;0.0;-1.2;3.3;-0.0
1816;13.82;0.37;-12.86;0.0;-1.34;2.54;-0.0
1817;15.2;-0.0;-13.77;0.0;-1.43;2.01;-0.0
1818;14.94;-0.0;-13.54;0.0;-1.41;2.15;-0.0
1819;15.46;-0.0;-14.01;0.0;-1.46;-1.46;-0.0
1820;15.89;-0.0;-14.4;0.0;-1.5;-1.68;-0.0
1821;16.02;-0.0;-14.51;0.0;-1.51;-1.75;-0.0
