;on_wind;pv;battery storage;hydrogen_storage;Curtailment
471;0.0;0.0;12.47;173.25;0.0
472;0.0;0.0;14.92;172.05;0.0
473;0.0;0.0;15.48;172.05;0.0
474;0.0;0.0;16.43;172.05;0.0
475;0.0;0.0;17.47;175.39;0.0
476;0.0;0.0;18.25;175.39;0.0
477;0.0;0.0;18.81;175.39;0.0
478;0.0;0.0;19.37;175.39;0.0
479;0.0;0.0;19.5;175.39;0.0
480;0.0;0.0;19.15;175.39;0.0
481;0.0;0.0;18.55;175.39;0.0
482;0.0;0.0;18.03;175.39;0.0
483;0.0;0.0;17.64;175.39;0.0
484;0.0;0.0;17.47;175.39;0.0
485;0.0;0.0;17.43;172.05;0.0
486;0.0;0.0;17.47;172.05;0.0
487;0.0;0.0;17.57;172.05;0.0
488;0.0;0.0;19.91;172.05;0.0
489;0.0;0.0;19.93;174.45;0.0
490;0.0;0.0;19.93;178.34;0.0
491;0.0;0.0;19.93;180.83;0.0
492;0.0;0.0;19.93;179.15;0.0
493;0.0;0.0;19.93;177.52;0.0
494;0.0;0.0;19.93;175.03;0.0
495;0.0;0.0;19.93;175.64;0.0
496;0.0;0.0;15.71;179.15;0.0
497;0.0;0.0;19.93;177.07;0.0
498;0.0;0.0;19.93;177.45;0.0
499;0.0;0.0;35.13;172.48;0.0
500;9.62;0.0;27.29;172.48;9.62
501;0.0;0.0;38.29;172.48;0.0
502;0.0;0.0;38.8;172.48;0.0
503;0.54;0.0;39.86;172.48;0.54
504;0.0;0.0;19.93;183.46;0.0
505;0.0;0.0;19.93;182.24;0.0
506;0.0;0.0;19.93;181.13;0.0
507;0.0;0.0;19.93;180.74;0.0
508;0.0;0.0;19.93;180.27;0.0
509;0.0;0.0;19.93;176.21;0.0
510;0.0;0.0;19.93;177.54;0.0
511;0.0;0.0;19.93;177.43;0.0
512;0.0;0.0;19.93;176.47;0.0
513;0.0;0.0;19.93;175.31;0.0
514;0.0;0.0;19.93;175.6;0.0
515;0.0;0.0;19.93;175.9;0.0
516;0.0;0.0;19.93;176.33;0.0
517;0.0;0.0;19.93;174.74;0.0
518;0.0;0.0;19.93;173.2;0.0
519;0.0;0.0;19.93;173.21;0.0
520;0.0;0.0;19.93;173.51;0.0
521;0.0;0.0;19.93;173.64;0.0
522;0.0;0.0;19.93;173.51;0.0
523;0.0;0.0;19.93;176.5;0.0
524;0.0;0.0;19.93;176.2;0.0
525;0.0;0.0;19.93;176.23;0.0
526;0.0;0.0;19.93;176.36;0.0
527;0.0;0.0;19.93;176.57;0.0
528;0.0;0.0;19.93;176.48;0.0
529;0.0;0.0;19.93;175.59;0.0
530;0.0;0.0;18.33;175.39;0.0
531;0.0;0.0;17.21;175.39;0.0
532;0.0;0.0;17.25;175.39;0.0
533;0.0;0.0;17.6;172.05;0.0
534;0.0;0.0;18.12;172.05;0.0
535;0.0;0.0;18.97;172.05;0.0
536;0.0;0.0;19.93;173.01;0.0
537;0.0;0.0;19.93;175.0;0.0
538;0.0;0.0;29.48;172.05;0.0
539;0.0;0.0;19.93;177.69;0.0
540;0.0;0.0;19.93;177.69;0.0
541;0.0;0.0;19.93;175.53;0.0
542;0.0;0.0;21.6;172.05;0.0
543;0.0;0.0;19.68;172.05;0.0
544;0.0;0.0;21.06;172.23;0.0
545;0.0;0.0;19.93;173.51;0.0
546;0.0;0.0;19.93;173.8;0.0
547;0.0;0.0;19.93;176.98;0.0
548;0.0;0.0;19.93;176.54;0.0
549;0.0;0.0;19.93;175.95;0.0
550;0.0;0.0;19.93;175.55;0.0
551;0.0;0.0;19.89;175.39;0.0
552;0.0;0.0;19.8;175.39;0.0
553;0.0;0.0;19.8;175.39;0.0
554;0.0;0.0;19.37;175.39;0.0
555;0.0;0.0;18.46;175.39;0.0
556;0.0;0.0;17.94;175.39;0.0
557;0.0;0.0;17.68;172.05;0.0
558;0.0;0.0;17.94;172.05;0.0
559;0.0;0.0;18.93;172.05;0.0
560;0.0;0.0;19.93;173.43;0.0
561;0.0;0.0;19.93;177.19;0.0
562;0.0;0.0;22.84;179.15;0.0
563;0.0;0.0;23.57;178.12;0.0
564;0.0;0.0;20.12;179.15;0.0
565;0.0;0.0;19.93;177.15;0.0
566;0.0;0.0;22.02;172.05;0.0
567;0.0;0.0;18.65;172.05;0.0
568;0.0;0.0;20.06;172.05;0.0
569;0.0;0.0;21.01;172.05;0.0
570;0.0;0.0;20.71;172.05;0.0
571;0.0;0.0;19.63;175.39;0.0
572;0.0;0.0;18.16;175.39;0.0
573;0.0;0.0;16.95;175.39;0.0
574;0.0;0.0;16.39;175.39;0.0
