snapshot;pv;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
258;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
259;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
260;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
261;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
262;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
263;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
264;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
265;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
266;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
267;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
268;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
269;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
270;-0.0;28.86;-5.16;26.14;15.16;-15.16;-15.16;2.72;0.0;10.0
271;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
272;5.47;13.57;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
273;7.52;11.51;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
274;6.15;28.64;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
275;4.78;14.25;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
276;5.47;13.57;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
277;3.42;4.31;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
278;0.68;7.05;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
279;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
280;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
281;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
282;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
283;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
284;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
285;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
286;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
287;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
288;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
289;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
290;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
291;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
292;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
293;-0.0;30.33;-5.94;27.48;15.94;-15.94;-15.94;2.86;0.0;10.0
294;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
295;3.42;4.31;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
296;87.48;-52.68;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
297;181.79;-146.99;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
298;161.97;-127.18;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
299;75.17;-40.38;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
