;pv;grid;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
1957;25.57;-0.0;-24.2;1.15;-2.52;-4.04;-0.0
1958;16.76;0.11;-24.2;9.85;-2.52;-4.04;-0.0
1959;17.05;-0.0;-17.24;1.99;-1.79;0.0;-0.0
1960;6.8;-0.0;-24.2;19.92;-2.52;-4.04;-0.0
1961;-0.0;14.11;-17.24;4.93;-1.79;0.0;-0.0
1962;-0.0;-0.0;-5.38;5.94;-0.56;6.88;-0.0
1963;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1964;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1965;-0.0;9.52;-8.63;0.0;-0.9;1.66;-0.0
1966;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1967;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1968;-0.0;5.94;-5.38;0.0;-0.56;3.55;-0.0
1969;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1970;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1971;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1972;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1973;-0.0;-0.0;-5.38;5.94;-0.56;6.88;-0.0
1974;0.86;14.11;-13.56;0.0;-1.41;2.14;-0.0
1975;7.37;14.11;-19.46;0.0;-2.02;-1.29;-0.0
1976;26.72;-0.0;-24.2;0.0;-2.52;-4.04;-3.45
1977;31.12;-0.0;-24.2;-4.41;-2.52;-4.04;-31.03
1978;52.29;-0.0;-24.2;-25.57;-2.52;-4.04;-18.77
1979;52.29;-0.0;-24.2;-25.57;-2.52;-4.04;-17.72
1980;52.29;-0.0;-24.2;-25.57;-2.52;-4.04;-9.67
1981;46.06;-0.0;-24.2;-19.35;-2.52;-4.04;-0.0
1982;28.54;-0.0;-24.2;-1.82;-2.52;-4.04;-0.0
1983;14.75;-0.0;-24.2;11.97;-2.52;-4.04;-0.0
1984;4.69;-0.0;-24.2;22.03;-2.52;-4.04;-0.0
1985;-0.0;14.11;-24.2;12.61;-2.52;-4.04;-0.0
1986;-0.0;-0.0;-20.2;22.3;-2.1;-1.72;-0.0
1987;-0.0;14.11;-24.2;12.61;-2.52;-7.37;-0.0
1988;-0.0;14.11;-24.2;12.61;-2.52;-7.37;-0.0
1989;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1990;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1991;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1992;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1993;-0.0;10.79;-9.77;0.0;-1.02;1.0;-0.0
1994;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1995;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1996;-0.0;5.94;-5.38;0.0;-0.56;3.55;-0.0
1997;0.1;14.11;-12.86;0.0;-1.34;2.54;-0.0
1998;3.73;-0.0;-5.38;2.2;-0.56;6.88;-0.0
1999;12.64;14.08;-24.2;0.0;-2.52;-4.04;-0.0
2000;28.73;-0.0;-24.2;-2.01;-2.52;-4.04;-0.0
2001;32.37;-0.0;-24.2;-5.65;-2.52;-4.04;-0.0
2002;36.1;-0.0;-24.2;-9.39;-2.52;-4.04;-0.0
2003;25.95;0.77;-24.2;0.0;-2.52;-4.04;-0.0
2004;14.17;-0.0;-12.84;0.0;-1.34;2.55;-0.0
2005;16.47;-0.0;-17.24;2.56;-1.79;0.0;-0.0
2006;12.26;14.11;-23.88;0.0;-2.48;-3.85;-0.0
2007;6.03;-0.0;-15.2;10.75;-1.58;1.18;-0.0
2008;2.2;-0.0;-5.38;3.73;-0.56;6.88;-0.0
2009;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
2010;-0.0;5.94;-5.38;0.0;-0.56;6.88;-0.0
2011;-0.0;-0.0;0.0;0.0;0.0;6.67;-0.0
2012;-0.0;-0.0;0.0;0.0;0.0;6.67;-0.0
2013;-0.0;-0.0;0.0;0.0;0.0;6.67;-0.0
2014;-0.0;-0.0;0.0;0.0;0.0;6.67;-0.0
2015;-0.0;-0.0;0.0;0.0;0.0;6.67;-0.0
2016;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
2017;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
2018;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
2019;-0.0;5.94;-5.38;0.0;-0.56;3.55;-0.0
2020;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
2021;0.48;14.11;-13.21;0.0;-1.37;2.34;-0.0
2022;7.76;14.11;-19.8;0.0;-2.06;-1.49;-0.0
2023;25.47;1.24;-24.2;0.0;-2.52;-4.04;-0.0
2024;37.16;-0.0;-24.2;-10.44;-2.52;-4.04;-0.0
2025;39.84;-0.0;-24.2;-13.12;-2.52;-4.04;-0.0
2026;37.64;-0.0;-24.2;-10.92;-2.52;-4.04;-0.0
2027;36.58;-0.0;-24.2;-9.86;-2.52;-4.04;-0.0
2028;24.8;-0.0;-22.47;0.0;-2.34;-3.03;-0.0
2029;17.62;9.1;-24.2;0.0;-2.52;-4.04;-0.0
2030;11.68;14.11;-23.36;0.0;-2.43;-3.55;-0.0
2031;7.18;14.11;-19.28;0.0;-2.01;-1.19;-0.0
2032;2.87;14.11;-15.38;0.0;-1.6;1.08;-0.0
2033;-0.0;-0.0;-5.38;5.94;-0.56;6.88;-0.0
2034;-0.0;-0.0;-5.38;5.94;-0.56;6.88;-0.0
2035;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
2036;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
2037;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
2038;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
2039;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
2040;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
2041;-0.0;5.94;-5.38;0.0;-0.56;3.55;-0.0
2042;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
2043;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
2044;-0.0;3.16;-5.38;2.78;-0.56;3.55;-0.0
2045;0.86;14.11;-13.56;0.0;-1.41;2.14;-0.0
2046;8.24;-0.0;-7.46;0.0;-0.78;5.67;-0.0
2047;18.39;-0.0;-16.66;0.0;-1.73;0.34;-0.0
2048;27.77;-0.0;-24.2;-1.05;-2.52;-4.04;-0.0
